ID	RPM	RPM
EfM3.023900	0.457326833195	33.0300077621
EfM3.014010	1268.62463528	68140.9060131
EfM3.056300	6981.09410872	371092.137207
EfM3.019640	1302.46682094	33.0300077621
EfM3.053560	222.718167766	8125.38190946
EfM3.077420	3.65861466556	132.120031048
EfM3.024590	478.363867522	16.515003881
EfM3.056990	439.948413533	16.515003881
EfM3.033720	1248.50225462	49.5450116431
EfM3.005710	1402.62139741	35094.3832472
EfM3.050840	799.864631257	33.0300077621
EfM3.043010	382.782559384	16.515003881
EfM3.081120	710.685898784	33.0300077621
EfM3.043630	3267.60022318	67348.1858268
EfM3.013890	390.557115548	7976.74687454
EfM3.018180	334.763241898	16.515003881
EfM3.005300	989.1979402	49.5450116431
EfM3.061970	650.776083636	33.0300077621
EfM3.035750	305.494324574	16.515003881
EfM3.062330	302.750363575	16.515003881
EfM3.056230	1066.94350184	66.0600155241
EfM3.064430	256.560353422	16.515003881
EfM3.016770	1268.62463528	82.5750194051
EfM3.075370	252.901738757	16.515003881
EfM3.052580	250.615104591	16.515003881
EfM3.029590	243.29787526	16.515003881
EfM3.079830	235.523319095	16.515003881
EfM3.051630	231.86470443	16.515003881
EfM3.015320	230.950050763	16.515003881
EfM3.062230	9.60386349709	132.120031048
EfM3.051560	221.803514099	16.515003881
EfM3.026710	220.4315336	16.515003881
EfM3.018170	71981.8715643	5516.01129626
EfM3.001160	214.486284768	16.515003881
EfM3.019650	1705.37176098	132.120031048
EfM3.016210	207.169055437	16.515003881
EfM3.013850	204.882421271	16.515003881
EfM3.032490	199.394499273	16.515003881
EfM3.050830	393.758403381	33.0300077621
EfM3.047990	189.790635776	16.515003881
EfM3.064020	189.790635776	16.515003881
EfM3.048120	377.751964219	33.0300077621
EfM3.061730	188.418655276	16.515003881
EfM3.053360	745.442738107	66.0600155241
EfM3.017740	1171.21401981	13129.4280854
EfM3.023280	369.977408054	33.0300077621
EfM3.060560	184.760040611	16.515003881
EfM3.010610	30.640897824	330.300077621
EfM3.041680	176.528157613	16.515003881
EfM3.029390	175.613503947	16.515003881
EfM3.073810	350.76968106	33.0300077621
EfM3.044890	172.412216114	16.515003881
EfM3.008880	342.537798063	33.0300077621
EfM3.019740	342.537798063	33.0300077621
EfM3.079440	171.040235615	16.515003881
EfM3.010840	341.623144396	33.0300077621
EfM3.073180	170.582908782	16.515003881
EfM3.025430	338.421856564	33.0300077621
EfM3.016980	165.094986783	16.515003881
EfM3.081330	164.63765995	16.515003881
EfM3.021160	161.893698951	16.515003881
EfM3.046740	161.893698951	16.515003881
EfM3.069290	322.415417402	33.0300077621
EfM3.033270	158.235084285	16.515003881
EfM3.010830	157.320430619	16.515003881
EfM3.031710	157.320430619	16.515003881
EfM3.052920	155.033796453	16.515003881
EfM3.013990	154.57646962	16.515003881
EfM3.032325	308.695612406	33.0300077621
EfM3.046380	307.323631907	33.0300077621
EfM3.035950	150.460528121	16.515003881
EfM3.075880	150.003201288	16.515003881
EfM3.011910	1490.88547621	165.15003881
EfM3.081800	296.805114743	33.0300077621
EfM3.006980	148.173893955	16.515003881
EfM3.054380	295.433134244	33.0300077621
EfM3.033980	147.259240289	16.515003881
EfM3.039650	147.259240289	16.515003881
EfM3.070280	147.259240289	16.515003881
EfM3.059530	145.887259789	16.515003881
EfM3.006170	145.429932956	16.515003881
EfM3.056940	145.429932956	16.515003881
EfM3.005720	144.515279289	16.515003881
EfM3.058550	144.515279289	16.515003881
EfM3.082410	144.515279289	16.515003881
EfM3.070380	430.801876869	49.5450116431
EfM3.010130	571.20121466	66.0600155241
EfM3.026820	285.371943913	33.0300077621
EfM3.064010	562.969331663	66.0600155241
EfM3.081680	844.225334077	99.0900232862
EfM3.043280	409.307515709	49.5450116431
EfM3.067590	544.218931502	66.0600155241
EfM3.063860	10.0611903303	82.5750194051
EfM3.011150	270.737485251	33.0300077621
EfM3.033600	270.737485251	33.0300077621
EfM3.050220	54.8792199834	445.905104788
EfM3.038620	402.447613211	49.5450116431
EfM3.049740	8.2318829975	66.0600155241
EfM3.079040	909.165744391	115.605027167
EfM3.031510	257.475007089	33.0300077621
EfM3.076060	255.645699756	33.0300077621
EfM3.000490	253.35906559	33.0300077621
EfM3.048020	379.123944718	49.5450116431
EfM3.033350	1135.54252682	148.635034929
EfM3.028950	8.6892098307	66.0600155241
EfM3.081700	8.6892098307	66.0600155241
EfM3.018730	497.571594516	66.0600155241
EfM3.017380	245.584509426	33.0300077621
EfM3.082210	241.468567927	33.0300077621
EfM3.063490	240.096587427	33.0300077621
EfM3.044610	479.278521188	66.0600155241
EfM3.008610	9.14653666389	66.0600155241
EfM3.005280	472.41861869	66.0600155241
EfM3.028690	16586.3295863	2328.61554722
EfM3.016520	469.674657691	66.0600155241
EfM3.049110	469.674657691	66.0600155241
EfM3.042450	231.86470443	33.0300077621
EfM3.077020	231.86470443	33.0300077621
EfM3.072930	230.49272393	33.0300077621
EfM3.028800	181.101425945	1255.14029496
EfM3.078390	227.748762931	33.0300077621
EfM3.079890	340.70849073	49.5450116431
EfM3.058690	226.834109265	33.0300077621
EfM3.016890	226.376782431	33.0300077621
EfM3.072110	1238.44106429	181.665042691
EfM3.000100	1119.99341449	165.15003881
EfM3.033370	223.632821432	33.0300077621
EfM3.001690	444.064355032	66.0600155241
EfM3.056220	221.346187266	33.0300077621
EfM3.049830	441.320394033	66.0600155241
EfM3.061720	330.6473004	49.5450116431
EfM3.070610	545.590912001	82.5750194051
EfM3.000820	214.486284768	33.0300077621
EfM3.011330	213.114304269	33.0300077621
EfM3.030800	212.199650602	33.0300077621
EfM3.065150	1051.39438951	165.15003881
EfM3.043660	415.710091374	66.0600155241
EfM3.046430	7247.25832563	1156.05027167
EfM3.080010	412.508803542	66.0600155241
EfM3.013700	205.339748104	33.0300077621
EfM3.068520	204.882421271	33.0300077621
EfM3.041770	32.0128783236	198.180046572
EfM3.064190	32.0128783236	198.180046572
EfM3.048150	203.967767605	33.0300077621
EfM3.015030	509.004765346	82.5750194051
EfM3.080960	304.579670908	49.5450116431
EfM3.046700	203.053113938	33.0300077621
EfM3.058050	3243.36190102	528.480124193
EfM3.020740	202.595787105	33.0300077621
EfM3.038690	505.803477513	82.5750194051
EfM3.057600	601.842112484	99.0900232862
EfM3.047190	896.817919895	148.635034929
EfM3.052230	298.634422076	49.5450116431
EfM3.079050	1588.75341852	264.240062096
EfM3.028910	1981.1398414	330.300077621
EfM3.053760	198.022518773	33.0300077621
EfM3.058860	296.805114743	49.5450116431
EfM3.069510	197.107865107	33.0300077621
EfM3.039130	392.843749714	66.0600155241
EfM3.025000	196.19321144	33.0300077621
EfM3.033420	194.821230941	33.0300077621
EfM3.000760	291.774519578	49.5450116431
EfM3.078860	194.363904108	33.0300077621
EfM3.018300	19.6650538274	115.605027167
