,experience 1,experience 2,experience 3,experience 4,experience 5,experience 6,experience 7,experience 8,experience 9,experience 10,experience 11,experience 12,experience 13,experience 14,experience 15,experience 16,experience 17,experience 18,experience 19,experience 20,experience 21,experience 22,experience 23,experience 24,experience 25,std,mean,median
gene 2,839.96725,644.60765,698.20687,731.69089,853.76434,719.66632,911.33239,575.07466,784.79224,836.49758,595.37199,721.10967,699.46748,878.70229,877.90951,692.92131,602.76187,889.73418,738.27664,585.44561,735.86770,600.41904,730.33633,883.65048,938.75788,110.91789,750.65329,731.69089
gene 3,322.91413,237.93508,315.42127,294.51306,360.25602,412.44739,343.08742,410.73322,505.07355,448.23799,254.00911,281.00375,290.11899,321.70218,371.16199,415.59306,364.86187,322.59514,322.16603,371.78646,321.31454,455.09037,312.13680,384.90056,404.26630,63.70372,353.73305,343.08742
gene 4,480.74616,593.87919,475.74040,487.88748,553.07654,683.66025,612.31873,429.49586,648.16271,521.96734,461.60948,593.22150,547.23826,493.28014,772.67527,502.30054,631.26969,869.51278,900.92758,647.12752,697.39761,692.64472,568.70785,912.68377,447.73584,136.55796,609.01069,593.22150
gene 5,185.74212,323.43555,334.04213,198.59847,198.43025,247.78544,294.34960,257.17363,269.18311,281.79233,192.62296,289.52997,182.13815,297.03876,253.72483,207.94322,279.54511,218.14969,298.84729,266.18275,211.65618,242.73353,189.46306,353.18855,183.15447,50.43069,250.25805,253.72483
gene 6,28.14514,47.57854,37.92316,37.19934,37.26226,32.32995,30.15273,34.84437,44.87087,35.41663,33.69977,33.46178,30.50497,35.53834,51.20893,39.78896,37.25335,57.25952,32.18355,68.37083,50.08442,40.81465,39.20991,40.48292,18.57854,9.93932,38.96654,37.25335
gene 7,2409.06615,1848.61717,1699.37542,1961.13738,2114.74090,1766.68265,1716.58622,1979.70849,1983.78356,1969.58602,2071.43313,1545.43066,1278.68923,2056.79854,1447.32419,2075.61846,2014.86217,1761.24574,1959.69484,2187.50625,1966.88198,1947.50089,2284.23868,980.27190,1376.46316,320.49414,1856.12975,1961.13738
gene 8,1496.69621,1137.81162,1232.30042,1122.96784,1104.32093,996.59832,1569.69102,1070.11964,618.54035,1174.63776,1237.53971,1278.87104,1439.59910,1215.55681,1463.00164,1318.04653,1267.33462,1725.71827,1191.87910,1353.08255,1311.24921,1156.42615,1043.31581,1246.67879,1162.29815,209.95117,1237.37126,1232.30042
gene 9,167.14444,218.72012,258.97453,214.96811,233.09455,250.05159,212.93993,332.04493,209.37857,177.12778,161.08467,189.82174,163.07488,206.77195,210.44631,232.80469,180.59849,208.09504,199.55513,196.81925,200.17089,295.57087,175.63354,272.80168,169.73725,41.47323,213.49724,208.09504
gene 10,895.07579,890.60266,836.31590,823.25924,748.71300,579.80711,768.26786,485.58383,1046.36822,474.56340,648.50774,700.91443,786.91312,611.37558,647.41788,975.55773,742.73849,735.15282,593.65364,629.32999,448.28176,956.91189,589.64844,716.95057,654.60516,154.52538,719.46065,716.95057
gene 11,1379.62848,1813.03335,1635.50514,1776.84804,1413.76635,1470.29130,1704.47135,1907.49377,1363.57532,1862.67009,1675.35859,2130.72153,2108.43677,1214.36296,1190.89743,1661.90825,1646.97588,2220.77665,1891.55170,2455.34553,2079.59055,2069.59131,2085.36043,1923.71021,1683.06447,317.11088,1774.59742,1776.84804
gene 12,146.18625,231.01340,178.60092,112.06557,196.97494,196.33447,164.81491,203.55584,130.13418,165.79777,155.58231,227.43853,186.13926,185.83404,146.05680,224.16189,177.07966,148.34187,203.63740,190.34855,185.20513,201.19684,150.68428,212.07983,133.85914,31.30168,178.12495,185.20513
gene 13,24.47671,26.41102,25.33971,32.76049,22.06228,35.02090,38.30646,30.37413,20.86206,26.28809,23.30543,31.31450,33.34273,34.07344,25.73984,35.75276,31.63641,25.49118,19.25044,24.29797,21.81718,22.38728,27.43287,30.83569,27.48921,5.08390,27.84275,26.41102
gene 14,194.06555,148.19580,137.77348,113.85522,115.18483,139.22887,139.72887,138.37498,140.20981,135.29872,121.09151,164.54710,132.09376,116.65703,124.80519,151.76648,141.56652,145.02825,161.74271,102.53019,147.74618,123.11601,118.55959,152.61203,115.76491,19.45894,136.86174,138.37498
gene 15,777.88601,788.63727,1132.24259,956.10758,567.92060,1096.90085,841.68017,887.06423,867.81879,577.62191,1084.34165,696.36464,835.16530,893.53888,1045.62133,928.94135,749.36027,1017.02197,923.37021,827.98192,765.79883,940.23442,689.44897,970.13220,488.82529,163.81449,854.00109,867.81879
gene 16,713.69990,741.19847,458.15576,734.78306,720.49364,561.15550,591.08890,730.38552,536.99518,618.99482,778.51143,644.86210,717.12393,366.84720,581.86877,478.88125,657.98011,598.26515,474.94962,687.27835,572.27441,499.10408,613.50037,557.67023,571.58400,102.79488,608.30607,598.26515
gene 17,137.11698,95.92488,55.77178,106.71266,67.10572,106.25341,102.44362,104.91176,98.99519,104.20813,121.51980,90.23941,60.97028,93.30248,104.27884,78.24117,95.69337,104.49249,104.99108,131.85083,127.54748,93.36805,93.12279,74.66418,75.10454,20.17035,97.15324,98.99519
gene 18,166.64409,224.64919,140.12028,233.81938,173.82105,158.14228,154.39090,211.25782,187.68764,149.67741,135.64520,112.22497,157.47952,182.09498,198.73729,186.72744,169.25197,246.13801,130.97454,117.71383,202.63771,188.79928,239.25100,195.63341,219.93856,36.85478,179.33831,182.09498
gene 19,885.07312,741.89805,746.70854,788.56394,905.44704,925.54935,992.47904,947.79435,1114.92952,806.16539,836.42422,693.77002,682.70667,590.36430,565.50115,935.09982,753.43810,1107.68443,694.06874,1089.84094,540.98310,981.48719,815.94541,722.76312,674.16670,160.58236,821.55409,806.16539
gene 20,1438.49010,1269.84580,1843.41815,1023.12119,1572.54354,1720.77340,1463.33883,1706.61336,1369.43294,1762.92818,2015.88636,1872.42343,1669.44629,1847.15901,1721.23232,1068.85452,1089.87234,2147.91366,1439.80520,1320.88169,1620.30440,1280.16007,1497.62248,1065.35645,1691.96082,299.72848,1540.77538,1572.54354
gene 21,830.28251,720.89741,823.02473,870.31538,567.78960,597.30092,523.14372,718.43237,492.62577,920.19066,902.28198,967.01929,761.27720,601.48917,1032.82791,950.90035,709.66883,666.60027,698.26687,961.43898,833.43378,613.54535,714.51836,759.91690,675.07937,145.81775,756.49071,720.89741
gene 22,556.39712,664.93057,755.99953,474.43557,489.72848,562.70966,625.35195,344.56281,602.83230,484.03692,572.41172,477.50354,575.59120,522.68245,469.79489,682.71572,469.27831,489.80071,459.52089,640.05222,361.99487,704.40220,626.80055,462.93492,581.04486,100.22819,546.30056,556.39712
gene 23,756.63914,911.19157,985.24545,487.30813,1092.91301,826.83980,230.47494,930.29195,831.61288,1097.33374,711.22126,1216.43815,1207.54539,696.25765,683.46783,592.65915,1109.75906,947.64923,977.71038,784.20208,824.88511,934.98366,466.27244,876.95236,830.94002,230.14170,840.43178,831.61288
gene 24,1971.68155,1744.37625,1657.87325,2048.63810,1742.56490,1132.39972,1734.71064,2065.45855,1147.67571,1503.13893,1018.00881,1428.47411,1652.56509,1735.99432,1530.74712,1214.56538,934.53489,1898.44591,1257.71494,1642.24777,1415.16049,1214.39953,2025.13770,1739.40954,2421.15558,363.41152,1595.08315,1652.56509
gene 25,3053.48559,986.39847,1929.82407,1624.73637,1377.44015,1848.67919,1724.15269,1734.21493,1877.14637,2788.24469,1924.54482,2748.38416,1101.27132,2062.64379,1870.73564,1677.17945,1868.67011,2042.75340,1882.20771,2500.23848,1557.89879,1439.29011,1643.77594,2287.99923,2068.76822,479.83726,1904.82735,1870.73564
gene 26,1293.34303,1285.17608,1248.87935,746.35459,1093.67986,1136.58864,1221.20479,1413.15151,1195.20464,1456.46188,1519.67853,1064.07267,1351.05771,1579.99242,1213.69485,1370.46474,829.80691,1461.42414,1247.21550,1533.23431,1085.03569,901.38097,1780.34963,1095.64910,989.41680,239.32124,1244.50073,1247.21550
gene 27,142.10654,184.65564,128.96320,253.97261,172.42760,225.82412,246.13399,250.99224,192.74579,138.57617,127.73566,296.40479,258.78761,144.29084,189.40188,201.32871,228.76804,197.44200,160.56329,193.92335,177.29729,167.95629,189.41685,177.23962,236.51144,43.86598,195.33862,189.41685
gene 28,210.37928,179.70570,248.06642,203.42421,245.63226,254.83512,240.08524,153.63235,217.53283,177.39653,150.43056,122.92943,171.21951,220.17367,160.16265,221.54906,170.58754,194.82156,154.11581,154.67037,197.93458,212.29227,172.70191,189.83831,137.13632,35.73086,190.45014,189.83831
gene 29,141.55048,165.34021,133.65035,133.08222,81.57340,141.13049,74.68067,135.60543,138.46798,167.95631,165.61675,167.44741,126.90995,127.15088,151.94332,144.36840,118.21671,131.52543,129.49717,199.09666,155.09034,107.20047,119.45075,115.61855,93.65976,27.58398,134.63320,133.65035
gene 30,321.98223,281.22746,217.09661,300.06354,317.37162,404.25995,312.27778,313.24871,354.43667,230.58727,412.45791,232.53108,362.58226,336.31763,351.98610,214.52687,308.46243,315.29197,268.02492,388.71529,228.35312,316.25577,263.54344,468.14104,232.60433,64.99912,310.09384,313.24871
gene 31,36.12559,38.11092,55.70144,60.82229,44.92824,47.74391,51.26730,41.48872,37.74889,37.23606,44.47105,48.34621,61.43244,40.53325,48.19069,35.83112,36.12924,50.60788,50.87561,37.83143,38.14467,30.94740,39.52312,54.56259,39.92127,8.08869,44.34085,41.48872
gene 32,1939.83298,2320.33793,1679.98515,1987.97658,1697.16924,1795.10212,1175.91249,1376.03256,1415.52117,1087.29277,2372.44397,2399.67224,1890.12273,1014.86199,1835.03042,1656.59210,1269.97297,1915.87253,1584.36639,1462.29777,1160.38423,1782.84491,1367.95550,1817.88351,1798.94792,376.94122,1672.17649,1697.16924
gene 33,519.49906,674.27030,648.86692,730.62505,709.30391,960.31589,639.03278,436.86838,815.01173,1123.84230,668.20207,651.64339,561.19665,781.05015,769.91633,670.10844,774.07675,726.41465,861.23119,862.76926,731.01527,665.81219,687.63557,895.36885,922.89410,143.56634,739.47885,726.41465
gene 34,845.00634,793.21639,955.42915,1002.73226,1057.81884,635.18387,653.00714,603.78867,704.90227,861.07961,847.21820,1133.00242,692.31530,692.26664,891.47444,1088.17847,838.96183,851.45418,658.54741,676.91346,765.44175,854.85327,954.30781,825.64785,673.76894,146.03077,822.26066,838.96183
gene 35,1159.97600,1668.23634,1448.38782,1859.47205,1505.25191,1612.74514,1196.92552,1141.49083,1394.29861,1614.97768,892.42819,1266.60531,1715.96072,1642.69103,1434.98859,1365.92456,839.64647,1602.48999,1395.34788,1511.12075,1768.22910,1265.54562,1675.08678,1636.17478,1856.07911,265.65104,1458.80323,1505.25191
gene 36,843.46915,687.19338,1027.12114,707.98494,551.01682,841.33663,867.89911,765.15682,947.40860,755.83701,777.37912,745.17780,676.39097,967.54011,844.23681,401.67753,821.01024,972.77469,864.06204,505.08698,693.30605,695.91613,630.52616,629.52062,654.64399,147.93383,754.94691,755.83701
gene 37,1751.94679,1962.30411,1275.84703,1514.26590,1579.47302,2112.67648,2029.19643,2127.13637,1232.56826,1201.69721,1781.08502,1660.77162,1553.00935,1360.91587,912.74529,1783.86717,1387.49128,1250.30721,1412.73148,1458.55720,1277.44041,1905.43974,1530.11686,1466.57455,1361.06353,305.81255,1555.56913,1514.26590
gene 38,749.60797,847.80898,1089.77226,1397.62243,773.76351,913.36360,1363.88775,863.57888,851.86849,941.92873,1082.85256,703.00373,1150.52465,808.07345,1116.03309,989.03729,849.78479,851.95352,1073.93103,1006.68341,1055.27777,1119.19686,829.42561,1001.40170,1391.18076,190.08434,992.86251,989.03729
gene 39,414.81279,773.41910,602.82955,478.99786,604.33228,533.81697,488.56280,419.73518,589.98613,578.44966,575.31215,742.35370,522.42873,626.60224,533.79775,425.49451,611.92197,550.76636,520.97714,471.37362,701.22359,680.64919,492.14151,723.80082,486.77828,98.86411,566.02256,550.76636
gene 40,476.42577,753.53011,930.82921,734.08352,779.30080,710.66593,836.94361,746.23126,762.06256,826.08696,559.28360,570.56109,783.13657,837.83635,979.18421,753.88593,704.05440,769.34869,964.77426,819.76004,1050.79063,809.30766,1087.00335,1210.06641,947.15024,161.98952,816.09213,783.13657
gene 41,965.74289,1070.79059,1146.65021,600.13768,936.88687,998.13000,703.99241,1337.76401,1168.28644,868.66096,1184.57662,1149.24263,1258.73298,1463.59130,1025.10028,951.35051,1421.72308,775.47536,897.04748,1157.50711,1115.46769,1409.01627,1008.48381,1172.03496,1044.12642,211.84155,1073.22074,1070.79059
gene 42,30.21039,34.31369,22.09256,38.41764,43.06757,43.32927,36.33587,36.95789,45.36273,32.96904,51.11306,34.70519,31.56793,25.67407,35.62552,38.43037,39.02275,31.00834,21.47093,35.42562,30.24147,29.58130,28.57097,32.99642,30.12991,6.78111,34.34482,34.31369
gene 43,1018.26310,687.62739,941.51989,874.63816,620.29380,622.21623,1298.11567,492.22362,597.48305,974.20178,732.09694,1076.78722,1174.27558,673.92416,825.27810,850.00248,739.23544,690.61853,806.98588,831.60298,807.34525,656.62325,548.39968,986.18738,770.90497,193.58876,811.87402,806.98588
gene 44,2018.43626,1667.25442,2146.20332,1504.34171,1793.93662,1835.07357,1053.91446,1886.62972,1731.67552,1420.45650,1313.80921,1614.10359,1370.03405,1359.44466,1485.59409,1284.43344,1482.79221,1242.25071,1521.63934,1282.52688,1766.67858,2336.53164,1144.11459,970.67294,1100.06329,339.23231,1533.30445,1485.59409
gene 45,779.47395,630.14231,957.05735,788.76455,1320.57681,839.79928,892.20427,716.62170,1161.31631,470.43469,892.70794,866.39784,1027.88897,697.02923,1085.02145,799.71311,1058.82324,1315.49626,1147.58521,984.35250,1065.43896,1087.33057,947.81130,1064.34292,781.36021,201.42579,935.10764,947.81130
gene 46,302.33701,374.52044,277.97026,331.70665,411.51548,262.33132,220.26836,272.70440,373.17280,344.07164,293.96303,370.21543,266.15647,473.78421,302.47616,329.42877,287.55577,370.12591,328.24755,348.15871,277.48747,374.00708,323.51693,317.69531,343.92655,53.33120,327.09375,328.24755
gene 47,85.79140,159.22962,153.78869,192.41713,149.15541,78.36388,131.45900,130.95784,101.71115,117.25485,163.12840,115.95401,127.49570,101.57629,162.03684,121.72030,147.40041,149.60546,141.93798,147.97400,104.89898,127.81141,123.81787,112.54626,119.08522,25.85440,130.68472,127.81141
gene 48,467.16738,208.25490,342.44863,365.34681,220.99361,352.50208,300.05185,433.42238,275.74190,459.70960,323.25399,341.16567,361.61654,372.10649,301.51149,247.99760,354.35992,304.29950,271.68056,455.34075,315.62573,326.87210,301.58900,344.43578,302.37905,66.70277,333.99493,326.87210
gene 49,1704.20911,1730.53468,2031.25090,1391.71056,1704.07591,1374.37809,1619.45197,2131.61184,1638.45102,1797.55939,1627.42127,1264.80185,1341.92817,2145.66277,1854.46968,1226.56345,1315.47195,1061.45816,1517.76640,2433.01471,1874.45053,1669.82373,1689.02051,2023.64434,1808.23853,319.40243,1679.07878,1689.02051
gene 50,1166.22506,1127.20307,1320.04478,964.18518,1217.85579,1277.81220,1081.00449,949.44991,1563.42801,1092.36030,596.22266,1012.97257,956.43740,962.38646,939.06433,905.08460,1180.46151,1444.71344,1389.76832,926.12036,1170.61548,1243.22039,1133.90791,1250.77718,1009.14374,201.14689,1115.21861,1127.20307
gene 51,510.61769,481.96537,502.51095,254.01120,463.69240,461.99166,362.05706,537.21065,434.24601,674.21786,408.60440,312.94543,454.12278,550.30208,604.92927,561.96963,413.20677,302.40814,392.12185,494.59491,444.12611,347.43557,537.14325,441.55650,400.64665,95.48087,453.94537,454.12278
gene 52,1410.21703,1682.48123,1514.12179,1695.70611,1721.21415,1839.65212,1309.07149,1542.51558,1851.20195,1626.99631,1485.36832,2224.00602,1413.84194,1116.62969,2095.72115,1544.91418,1557.45892,1073.56446,2219.48377,2174.89148,1449.76271,1526.20474,2136.87747,1807.36708,1917.63287,316.61605,1677.47610,1626.99631
gene 53,1656.47329,2271.93627,1339.32335,1475.91946,1878.33590,1825.91443,1142.75258,2215.75057,1653.30259,1716.36597,2252.33915,2369.91771,1778.63503,1239.90707,1942.17411,1670.50475,1106.96202,1975.07823,2007.72368,1767.22992,2150.70326,1250.85281,1811.79016,1757.42598,1930.07918,349.48374,1767.49590,1778.63503
gene 54,110.13055,97.26894,125.27912,119.10471,92.72490,118.75518,107.83059,115.48073,123.77614,133.16008,131.59893,101.91476,91.80010,102.56707,122.03702,78.65924,125.66712,130.65976,91.50310,125.40372,165.22297,112.52407,139.60418,80.50441,139.82948,19.89588,115.32027,118.75518
gene 55,504.32974,517.85932,527.33783,608.08181,376.66342,512.73704,607.65060,343.59585,426.92514,346.12930,536.46602,381.48654,463.22369,397.14711,335.10072,540.39156,479.22794,273.00501,592.63258,396.00678,517.11495,473.34691,403.91150,587.04379,491.56923,91.41581,465.55938,479.22794
gene 56,371.37500,479.27363,530.16277,489.12837,499.21062,544.22253,508.10961,457.81555,455.04270,524.01849,494.25561,665.29607,508.45321,317.86426,618.36886,468.05577,572.49906,391.45611,388.72889,379.46201,394.95263,553.82271,544.80247,428.65521,428.05079,80.17599,480.52332,489.12837
gene 57,2197.03295,1650.20245,2550.04828,1649.35017,1232.39001,2272.34407,1257.74341,1831.95586,2304.35838,1933.75489,1987.50833,3053.67465,1628.53966,1865.07313,2173.04665,2196.51319,1695.04676,2522.81066,1497.34992,1497.66027,1509.88030,1719.90919,2116.92968,1748.74491,2372.85969,427.69006,1938.58910,1865.07313
gene 58,1452.76029,1631.57622,1615.03641,1640.99867,941.67081,1380.07974,1136.20701,1664.69036,1445.97757,1378.48445,1285.39769,1550.99227,1404.45517,1198.87381,1442.24448,1545.24157,1251.04674,1581.06528,1160.14811,1633.62015,1507.97227,1915.55412,1857.59040,1475.24867,1783.59134,226.09510,1475.22094,1475.24867
gene 59,2298.90009,1886.98008,2125.05290,2516.91410,1545.17983,1808.95638,1412.86640,2213.81847,1580.91423,2223.29305,1610.48308,1710.21472,1705.77825,1356.15796,2149.51615,1624.13999,2552.37356,2056.39075,2222.23257,1624.81940,2154.34518,1925.26618,1668.15167,2468.79033,2043.96372,341.32663,1939.41996,1925.26618
gene 60,1681.25495,1441.59933,1219.00699,1043.19811,1018.00418,1277.63470,1504.54930,1423.91452,1078.24021,1244.71316,1376.56783,1152.49872,886.33170,1165.26530,901.57557,1375.09352,1251.28673,1468.77607,563.13854,912.12405,1555.36395,1338.46718,1220.85886,1227.76637,1419.56529,245.14716,1229.87181,1244.71316
gene 61,404.46235,381.60425,437.60830,434.37535,423.52726,456.22452,457.17647,454.15767,504.70908,586.13348,249.19119,487.95115,437.58194,396.89096,471.69823,364.31618,338.18880,459.34206,423.33840,354.73678,434.34336,435.25081,492.21454,499.40922,334.87667,66.65850,428.77236,435.25081
gene 62,1527.73101,1350.87918,1417.92150,1446.67413,1700.33640,1039.83140,1468.02288,1624.49527,1777.28973,1762.38910,1252.49943,1609.73324,1251.53035,1687.66274,1698.24237,1512.96591,1730.15832,1749.29501,1543.16409,1702.62741,1066.81538,1421.31307,1893.25890,1016.06956,1212.33128,243.30056,1498.52951,1527.73101
gene 63,453.56927,376.96398,396.28172,525.52962,483.12372,394.49824,312.94516,513.17832,557.62130,585.60254,430.41750,408.43322,494.97366,381.76319,524.93454,503.45538,564.61661,511.44013,428.84603,385.85305,478.86634,342.33206,429.53481,510.84548,442.46847,70.65016,457.52377,453.56927
gene 64,1196.03664,1062.63134,1072.82317,1307.18491,1371.98176,1389.03504,1831.87275,1089.93851,1354.58439,1308.80758,1583.13801,1491.88473,705.14606,1805.78526,1460.10048,1205.80956,765.84940,1359.69211,1166.84622,1254.75077,849.04351,1462.43702,1109.57152,1232.75560,1153.80256,267.63433,1263.66036,1254.75077
gene 65,642.52090,520.93452,565.11385,550.18843,557.38570,700.64189,704.26926,573.14891,578.95249,475.01744,574.93296,510.06241,673.23888,407.59310,445.83988,709.51912,422.19884,483.12385,685.06945,748.76508,512.37540,419.09386,602.68255,308.56839,374.56363,114.21157,549.83203,557.38570
